Timestamp,Provider,Counter Name,Counter Type,Mean/Increment
10/10/2025 10:00:11,System.Runtime,dotnet.gc.last_collection.heap.fragmentation.size (By)[gc.heap.generation=gen2],Metric,0
10/10/2025 10:00:11,System.Runtime,dotnet.gc.last_collection.heap.fragmentation.size (By)[gc.heap.generation=poh],Metric,0
10/10/2025 10:00:11,System.Runtime,dotnet.thread_pool.work_item.count ({work_item} / 1 sec),Rate,0
10/10/2025 10:00:11,System.Runtime,dotnet.gc.heap.total_allocated (By / 1 sec),Rate,16392
10/10/2025 10:00:11,System.Runtime,dotnet.process.memory.working_set (By),Metric,46202880
10/10/2025 10:00:11,System.Runtime,dotnet.assembly.count ({assembly}),Metric,14
10/10/2025 10:00:11,System.Runtime,dotnet.monitor.lock_contentions ({contention} / 1 sec),Rate,0
10/10/2025 10:00:11,System.Runtime,dotnet.jit.compilation.time (s / 1 sec),Rate,0.003277100000000005
10/10/2025 10:00:11,System.Runtime,dotnet.gc.last_collection.heap.size (By)[gc.heap.generation=gen0],Metric,0
10/10/2025 10:00:11,System.Runtime,dotnet.gc.last_collection.heap.size (By)[gc.heap.generation=gen1],Metric,0
10/10/2025 10:00:11,System.Runtime,dotnet.gc.last_collection.heap.size (By)[gc.heap.generation=loh],Metric,0
10/10/2025 10:00:11,System.Runtime,dotnet.gc.last_collection.heap.size (By)[gc.heap.generation=gen2],Metric,0
10/10/2025 10:00:11,System.Runtime,dotnet.gc.last_collection.heap.size (By)[gc.heap.generation=poh],Metric,0
10/10/2025 10:00:11,System.Runtime,dotnet.gc.last_collection.memory.committed_size (By),Metric,0
10/10/2025 10:00:11,System.Runtime,dotnet.thread_pool.thread.count ({thread} / 1 sec),Rate,0
10/10/2025 10:00:11,System.Runtime,dotnet.gc.collections ({collection} / 1 sec)[gc.heap.generation=gen0],Rate,0
10/10/2025 10:00:11,System.Runtime,dotnet.gc.collections ({collection} / 1 sec)[gc.heap.generation=gen1],Rate,0
10/10/2025 10:00:11,System.Runtime,dotnet.gc.collections ({collection} / 1 sec)[gc.heap.generation=gen2],Rate,0
